"States","Total_Cars_Owned"
"Alabama","109855"
"Alaska","22546"
"Arizona","71223"
"Arkansas","40625"
"California","594490"
"Colorado","63282"
"Connecticut","6374"
"Delaware","5002"
"Dist. of Col.","34914"
"Florida","278333"
"Georgia","154220"
"Hawaii","24308"
"Idaho","12535"
"Illinois","100179"
"Indiana ","26423"
"Iowa","40369"
"Kansas","16106"
"Kentucky","91674"
"Louisiana","90118"
"Maine","15350"
"Maryland","78757"
"Massachusetts","57964"
"Michigan","77307"
"Minnesota","53248"
"Mississippi","16435"
"Missouri","52960"
"Montana","7583"
"Nebraska","42539"
"Nevada","25957"
"New Hampshire","13373"
"New Jersey  ","62012"
"New Mexico","30761"
"New York","70287"
"North Carolina","138873"
"North Dakota","19692"
"Ohio","116342"
"Oklahoma","26238"
"Oregon","78711"
"Pennsylvania","124694"
"Rhode Island","15990"
"South Carolina","211586"
"South Dakota","23456"
"Tennessee","154105"
"Texas  ","317174"
"Utah","34798"
"Vermont","12221"
"Virginia","140765"
"Washington","197509"
"West Virginia","42337"
"Wisconsin","88857"
"Wyoming","17724"
