"St_State","St_TotalNumber","St_Year"
"California","170993","2015"
"Texas","67485","2015"
"Florida","40661","2015"
"Washington","26867","2015"
"Georgia","26482","2015"
"Illinois","17652","2015"
"Ohio","17229","2015"
"Missouri","16999","2015"
"Arizona","16785","2015"
"Colorado","16000","2015"
"Alaska","2046","2015"
"Idaho","1871","2015"
"North Dakota","1583","2015"
"Rhode Island","1389","2015"
"South Dakota","1188","2015"
"Delaware","1181","2015"
"New Hampshire","891","2015"
"Maine","814","2015"
"Wyoming","592","2015"
"Vermont","178","2015"
"California","176756","2016"
"Texas","69056","2016"
"Florida","43135","2016"
"Washington","32286","2016"
"Georgia","26801","2016"
"Michigan","20176","2016"
"Illinois","19910","2016"
"Ohio","19667","2016"
"Colorado","19611","2016"
"Arizona","18421","2016"
"West Virginia","2509","2016"
"Idaho","2077","2016"
"North Dakota","1964","2016"
"Rhode Island","1596","2016"
"Delaware","1520","2016"
"South Dakota","1502","2016"
"New Hampshire","871","2016"
"Wyoming","800","2016"
"Maine","775","2016"
"Vermont","282","2016"
"California","168391","2017"
"Texas","68041","2017"
"Florida","42914","2017"
"Washington","28796","2017"
"Georgia","26263","2017"
"Colorado","21861","2017"
"Illinois","20881","2017"
"Ohio","20253","2017"
"Missouri","19921","2017"
"Michigan","19573","2017"
"D.C.","2587","2017"
"Idaho","2146","2017"
"North Dakota","1773","2017"
"Rhode Island","1483","2017"
"South Dakota","1383","2017"
"Delaware","1369","2017"
"New Hampshire","915","2017"
"Maine","793","2017"
"Wyoming","779","2017"
"Vermont","194","2017"
